"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 10 10:00:52 CET 2024","Wed Jan 10 10:00:58 CET 2024","6202","chromium","tests\bookRoom.spec.ts","Book a Room","","","Customer must NOT be able to book a room without filling up the First name field",""
"passed","Wed Jan 10 10:00:30 CET 2024","Wed Jan 10 10:00:32 CET 2024","2459","chromium","tests\createRoom.spec.ts","Creating room","","","Admin user must NOT be able to create new room with the room price less than 1",""
"passed","Wed Jan 10 10:00:32 CET 2024","Wed Jan 10 10:00:35 CET 2024","2522","chromium","tests\contactHotel.spec.ts","Contact Hotel","","","Customer must NOT be able to contact hotel without filling up the Phone field",""
"passed","Wed Jan 10 10:00:57 CET 2024","Wed Jan 10 10:01:00 CET 2024","2930","firefox","tests\contactHotel.spec.ts","Contact Hotel","","","Customer must NOT be able to contact hotel without filling up the Subject field",""
"failed","Wed Jan 10 10:00:20 CET 2024","Wed Jan 10 10:00:43 CET 2024","22324","chromium","tests\bookRoom.spec.ts","Book a Room","","","Customer must be able to book a room by filling up mandatory fields @sanity",""
"passed","Wed Jan 10 10:01:01 CET 2024","Wed Jan 10 10:01:03 CET 2024","2339","firefox","tests\createRoom.spec.ts","Creating room","","","Admin user must NOT be able to create new room with the room price less than 1",""
"passed","Wed Jan 10 10:01:06 CET 2024","Wed Jan 10 10:01:08 CET 2024","1341","firefox","tests\loginToTheWebsite.spec.ts","Login To The Website","","","Customer must NOT be able to log in to the hotel website without filling up the password field",""
"failed","Wed Jan 10 10:00:58 CET 2024","Wed Jan 10 10:01:17 CET 2024","18590","chromium","tests\bookRoom.spec.ts","Book a Room","","","Customer must NOT be able to book a room without filling up the Last name field",""
"passed","Wed Jan 10 10:00:20 CET 2024","Wed Jan 10 10:00:27 CET 2024","6901","chromium","tests\createRoom.spec.ts","Creating room","","","Admin user must be able to create new room by filling up all mandatory fields @sanity",""
"passed","Wed Jan 10 10:00:27 CET 2024","Wed Jan 10 10:00:30 CET 2024","2609","chromium","tests\contactHotel.spec.ts","Contact Hotel","","","Customer must NOT be able to contact hotel without filling up the Name field",""
"passed","Wed Jan 10 10:00:58 CET 2024","Wed Jan 10 10:01:01 CET 2024","2923","firefox","tests\createRoom.spec.ts","Creating room","","","Admin user must NOT be able to create new room with the room name empty",""
"passed","Wed Jan 10 10:00:17 CET 2024","Wed Jan 10 10:00:20 CET 2024","2330","chromium","tests\loginToTheWebsite.spec.ts","Login To The Website","","","Customer must NOT be able to log in to the hotel website without filling up the username field",""
"passed","Wed Jan 10 10:00:20 CET 2024","Wed Jan 10 10:00:27 CET 2024","6783","chromium","tests\contactHotel.spec.ts","Contact Hotel","","","Customer must be able to contact hotel by filling up all mandatory fields @sanity",""
"passed","Wed Jan 10 10:00:37 CET 2024","Wed Jan 10 10:00:40 CET 2024","2650","chromium","tests\contactHotel.spec.ts","Contact Hotel","","","Customer must NOT be able to contact hotel without filling up the Message field",""
"passed","Wed Jan 10 10:01:16 CET 2024","Wed Jan 10 10:01:18 CET 2024","2647","firefox","tests\bookRoom.spec.ts","Book a Room","","","Customer must NOT be able to book a room without filling up the Phone field",""
"passed","Wed Jan 10 10:00:49 CET 2024","Wed Jan 10 10:00:52 CET 2024","2610","firefox","tests\contactHotel.spec.ts","Contact Hotel","","","Customer must NOT be able to contact hotel without filling up the Name field",""
"failed","Wed Jan 10 10:01:24 CET 2024","Wed Jan 10 10:01:41 CET 2024","17078","chromium","tests\bookRoom.spec.ts","Book a Room","","","Customer must NOT be able to book a room without filling up the Phone field",""
"passed","Wed Jan 10 10:01:21 CET 2024","Wed Jan 10 10:01:24 CET 2024","3190","chromium","tests\bookRoom.spec.ts","Book a Room","","","Customer must NOT be able to book a room without filling up the Email field",""
"passed","Wed Jan 10 10:00:41 CET 2024","Wed Jan 10 10:00:45 CET 2024","4222","firefox","tests\bookRoom.spec.ts","Book a Room","","","Customer must NOT be able to book a room without filling up the First name field",""
"passed","Wed Jan 10 10:00:30 CET 2024","Wed Jan 10 10:00:32 CET 2024","2381","chromium","tests\contactHotel.spec.ts","Contact Hotel","","","Customer must NOT be able to contact hotel without filling up an Email field",""
"passed","Wed Jan 10 10:00:35 CET 2024","Wed Jan 10 10:00:37 CET 2024","2502","chromium","tests\contactHotel.spec.ts","Contact Hotel","","","Customer must NOT be able to contact hotel without filling up the Subject field",""
"passed","Wed Jan 10 10:00:54 CET 2024","Wed Jan 10 10:00:57 CET 2024","3067","firefox","tests\contactHotel.spec.ts","Contact Hotel","","","Customer must NOT be able to contact hotel without filling up the Phone field",""
"passed","Wed Jan 10 10:00:27 CET 2024","Wed Jan 10 10:00:30 CET 2024","2492","chromium","tests\createRoom.spec.ts","Creating room","","","Admin user must NOT be able to create new room with the room name empty",""
"passed","Wed Jan 10 10:00:20 CET 2024","Wed Jan 10 10:00:23 CET 2024","3145","chromium","tests\loginToTheWebsite.spec.ts","Login To The Website","","","Customer must NOT be able to log in to the hotel website without filling up the password field",""
"passed","Wed Jan 10 10:00:41 CET 2024","Wed Jan 10 10:00:49 CET 2024","8347","firefox","tests\contactHotel.spec.ts","Contact Hotel","","","Customer must be able to contact hotel by filling up all mandatory fields @sanity",""
"failed","Wed Jan 10 10:00:45 CET 2024","Wed Jan 10 10:01:06 CET 2024","20596","firefox","tests\bookRoom.spec.ts","Book a Room","","","Customer must NOT be able to book a room without filling up the Last name field",""
"passed","Wed Jan 10 10:00:13 CET 2024","Wed Jan 10 10:00:17 CET 2024","4712","chromium","tests\loginToTheWebsite.spec.ts","Login To The Website","","","Customer must be able to log in to the hotel website by filling up mandatory fields @sanity",""
"passed","Wed Jan 10 10:00:49 CET 2024","Wed Jan 10 10:00:58 CET 2024","8846","firefox","tests\createRoom.spec.ts","Creating room","","","Admin user must be able to create new room by filling up all mandatory fields @sanity",""
"passed","Wed Jan 10 10:01:05 CET 2024","Wed Jan 10 10:01:06 CET 2024","1652","firefox","tests\loginToTheWebsite.spec.ts","Login To The Website","","","Customer must NOT be able to log in to the hotel website without filling up the username field",""
"passed","Wed Jan 10 10:00:32 CET 2024","Wed Jan 10 10:00:41 CET 2024","9042","firefox","tests\bookRoom.spec.ts","Book a Room","","","Customer must be able to book a room by filling up mandatory fields @sanity",""
"passed","Wed Jan 10 10:01:10 CET 2024","Wed Jan 10 10:01:16 CET 2024","5605","firefox","tests\bookRoom.spec.ts","Book a Room","","","Customer must NOT be able to book a room without filling up the Email field",""
"passed","Wed Jan 10 10:01:00 CET 2024","Wed Jan 10 10:01:03 CET 2024","2500","firefox","tests\contactHotel.spec.ts","Contact Hotel","","","Customer must NOT be able to contact hotel without filling up the Message field",""
"passed","Wed Jan 10 10:00:52 CET 2024","Wed Jan 10 10:00:54 CET 2024","2619","firefox","tests\contactHotel.spec.ts","Contact Hotel","","","Customer must NOT be able to contact hotel without filling up an Email field",""
"passed","Wed Jan 10 10:01:03 CET 2024","Wed Jan 10 10:01:05 CET 2024","1783","firefox","tests\loginToTheWebsite.spec.ts","Login To The Website","","","Customer must be able to log in to the hotel website by filling up mandatory fields @sanity",""
